Affected_data_volume;Criminal_investigation_exception;Date;company_industry;country;country_security_exception;data_category_Basic_personal_data;data_category_Children_data;data_category_Criminal_data;data_category_Financial_location_data;data_category_Special_category_data;data_processing_basis_Consent;data_processing_basis_Legal_obligation;data_processing_basis_Legitimate_interest;data_processing_basis_Performance_of_public_task;data_processing_basis_Protection_of_vital_interests;data_processing_basis_contract_performance;fine_amount;free_speech_exception;gdpr_clause;gdpr_conflict;violation_nature_Breach_of_Data_processing_principle;violation_nature_Breach_of_data_security;violation_nature_Violation_of_Data_processing_obligation;violation_nature_Violation_of_data_subject_rights;violation_result
unspecific;0;Not specified;Retail;Not specified;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Not specified;No conflict;1;0;0;1;1
191;0;2021;Retail;Spain;0;1;0;0;0;0;0;0;1;0;0;1;8125000;0;Art 28 GDPR, Art 44 GDPR;No conflict;1;0;0;1;1
unspecific;0;2024;Public sector;Denmark;0;0;1;1;0;0;0;0;0;1;0;0;0;0;Article 6(1)(e), Article 5(1);No conflict;0;0;0;0;0
unspecific;0;2024;Medical;Greece;0;0;0;0;0;1;1;0;0;0;0;0;0;0;Article 17, Article 18, Article 21;yes;1;0;1;1;1
unspecific;0;2024;Leisure;Austria;0;1;0;0;0;0;0;0;1;0;0;1;0;0;Article 6(1)(b) and (f);No conflict;0;0;0;1;1
unspecific;0;2025;Social Media;Germany;0;1;0;0;0;0;0;0;1;0;0;0;25000000;0;Art. 82 GDPR;No conflict;1;0;0;1;1
unspecific;0;2024;Medical;Italy;0;1;1;0;0;1;0;0;0;0;0;0;25000;0;Article 5(1)(f), Article 32;No conflict;1;1;0;0;1
2000;0;2024;Public sector;United Kingdom;0;1;0;0;0;1;0;0;0;1;0;0;0;0;Article 5(1)(f);No conflict;1;1;0;0;1
unspecific;0;2019;Retail;Belgium;0;1;0;0;0;0;1;0;1;0;0;0;10000;0;Article 5.1.c), Article 6.1, Article 13.1.c), Article 13.1.e), Article 13.2.a);No conflict;1;0;1;1;1
unspecific;0;2018;Insurance;Netherlands;0;0;0;0;0;1;0;0;0;0;0;0;50000;0;Article 32;yes;1;0;1;0;1
unspecific;0;2024;Human resources;Germany;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Article 6(1)(b), Article 6(1)(f), Article 82(1);No conflict;0;0;0;0;0
unspecific;0;2024;Retail;Germany;0;0;0;0;1;0;0;0;1;0;0;0;0;0;Article 6 para. 1 lit. a, lit. f, Art. 82 para. 1;No conflict;0;0;0;0;0
unspecific;0;2023;Social Media;Greece;0;0;0;1;0;0;0;0;1;0;0;0;0;0;Article 17;No conflict;0;0;0;1;1
unspecific;0;2024;Retail;Austria;0;1;0;0;1;0;0;0;1;0;0;0;0;0;Article 5(1)(a), Article 15(1)(h), Article 22(1);No conflict;1;0;0;1;1
unspecific;0;2024;Education;Italy;0;0;0;0;0;1;0;0;0;1;0;0;10000000;0;Article 9(2)(g);yes;1;0;1;0;1
unspecific;0;2023;Retail;Sweden;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Article 12.6, Article 12.2;No conflict;1;0;0;1;1
unspecific;0;2024;Public sector;Italy;0;0;0;0;0;0;0;1;0;1;0;0;6000;0;Article 37(1), Article 37(7), Article 38(2), Article 38(6);yes;0;0;1;0;1
unspecific;0;2024;Social Media;Finland;0;1;0;1;0;0;0;0;1;0;0;0;0;1;Article 17(1)(a), Article 17(1)(c), Article 17(1)(d), Article 17(3)(a), Article 21(1);No conflict;1;0;0;1;1
unspecific;0;2020;Medical;Finland;0;1;0;0;0;1;0;0;0;0;0;0;0;0;Article 5(1)(c), Article 25(2), Article 32(1), Article 32(2), Article 87, Section 29.4 of the Data Protection Act;yes;1;1;1;0;1
unspecific;0;2024;Public sector;United Kingdom;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Article 6(1)(f);No conflict;0;0;0;0;0
unspecific;0;2024;Education;Belgium;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Article 6(1);No conflict;1;0;1;0;1
28085;0;2021;Security Service;Croatia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 32(1)(b) and (d) and paragraph 2;No conflict;0;1;0;0;1
unspecific;0;2021;Public sector;Bulgaria;0;1;0;0;1;0;1;0;0;0;0;1;25500;0;Article 6;No conflict;1;0;1;1;1
unspecific;0;2021;Retail;Germany;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 17(1), Article 5(1)(a), Article 6(1);No conflict;0;0;0;1;1
unspecific;0;2022;Retail;Austria;0;0;0;0;1;0;0;0;1;0;0;0;0;0;Article 6(1)(f), Article 5(1)(a), Article 17;yes;1;0;1;1;0
unspecific;0;2019;Retail;Italy;0;0;0;0;1;1;1;0;0;0;0;1;0;0;Article 5 letter. c) of the European regulation on the protection of personal data 2016/679;yes;1;0;1;1;1
unspecific;0;2022;Human resources;Ireland;0;0;0;0;0;0;0;0;0;0;0;0;550;0;Article 5, Article 6;No conflict;1;0;0;1;1
2000000;0;2021;Insurance;France;0;1;0;0;1;1;0;0;0;0;0;0;1750000;0;Article 5-1-e), Article 13, Article 14;No conflict;1;0;0;1;1
unspecific;0;2023;Retail;Luxembourg;0;1;0;0;0;0;0;0;0;0;0;1;2500;0;Article 31, Article 32.1;No conflict;1;1;1;0;1
unspecific;0;2020;Human resources;Cyprus;0;0;0;0;0;0;0;0;1;0;0;1;0;0;Article 6(1)(b), Article 6(1)(f);yes;1;0;0;0;1
unspecific;0;2021;Public sector;Belgium;0;1;1;0;1;1;0;0;0;1;0;1;0;0;Article 28.1, Article 28.3, Article 32, Article 44;No conflict;0;0;0;0;0
unspecific;0;2019;Individual;Belgium;0;0;0;0;0;0;0;0;0;1;1;0;0;0;Article 6;No conflict;0;0;0;0;0
896401;0;2020;Medical;Sweden;0;1;0;0;0;1;0;1;0;1;0;0;304500;0;Article 5(1)(f), Article 5(2), Article 32(1), Article 32(2);No conflict;1;1;1;0;1
unspecific;0;2020;Public sector;Denmark;0;0;1;0;0;0;0;1;0;1;0;0;0;0;Article 30;No conflict;1;0;1;0;1
unspecific;0;2021;Insurance;Denmark;0;0;0;0;0;1;0;0;0;0;0;1;0;0;Article 9(2)(f);No conflict;0;0;0;0;0
unspecific;0;2021;Public sector;Norway;0;1;0;0;1;0;0;1;0;0;0;1;1000000;0;Article 17 no. 1 letter a) and d), cf. article 5 no. 1 letter a);yes;1;0;1;1;1
unspecific;0;2020;Education;Ireland;0;0;0;0;0;0;0;0;0;0;0;0;7000;0;Article 5(1)(f), Article 32(1), Article 5(1)(e), Article 33(1);No conflict;1;1;1;0;1
unspecific;0;2020;Individual;Austria;0;0;0;0;0;0;0;0;0;0;0;0;15000;0;Article 5(1)(a), Article 6(1);No conflict;1;0;0;1;1
unspecific;0;Not specified;Retail;Latvia;0;0;0;0;0;0;0;0;0;0;0;0;15000;0;Article 13;yes;0;0;0;1;1
unspecific;0;2017;Public sector;United Kingdom;0;0;1;0;0;0;0;0;0;0;0;0;0;0;Article 12;No conflict;0;0;0;1;1
unspecific;0;2022;Public sector;Germany;0;1;0;0;1;0;0;1;0;1;0;0;0;0;Article 15(1), Article 15(3), Article 17(1)(d), Article 21(1);No conflict;1;0;1;1;1
unspecific;0;2021;Retail;Germany;0;0;0;0;1;0;0;0;1;0;0;1;0;0;Article 6(1) sentence 1 lit. f);No conflict;1;0;0;1;1
500000;0;2020;Social Media;Italy;0;1;0;0;0;0;1;0;1;0;0;0;16729600;0;Article 5, Article 6, Article 7, Article 12, Article 24, Article 25, Article 83;yes;1;0;1;1;1
unspecific;0;2022;Marketing;Italy;0;0;0;0;0;0;1;0;1;0;0;0;5000;0;Article 6, Article 7, Article 12, Article 14, Article 15, Article 17, Article 21;No conflict;1;0;1;1;1
unspecific;0;2023;Medical;Italy;0;0;0;0;0;1;1;0;0;0;0;1;0;0;Article 5(1)(a), Article 6, Article 9, Article 12, Article 13;No conflict;1;0;1;1;1
unspecific;0;2020;Retail;Netherlands;0;0;0;0;1;0;0;1;0;0;0;0;0;0;Article 6 paragraph 1 under c;No conflict;0;0;0;0;0
unspecific;0;2020;Retail;Netherlands;0;0;0;0;1;0;0;0;1;0;0;0;0;0;Article 21(1), Article 17(1), Article 6(1)(f);No conflict;0;0;0;1;1
unspecific;0;2021;Social Media;Germany;0;1;1;0;0;0;0;1;0;0;0;1;0;0;Article 16(1) GDPR;No conflict;0;0;0;1;1
unspecific;0;2017;Social Media;Spain;0;1;0;0;0;0;1;0;0;0;0;0;0;0;Article 6.1;No conflict;1;0;0;1;1
unspecific;0;2021;Marketing;Spain;0;0;0;0;0;0;1;0;0;0;0;0;0;0;Not specified;No conflict;0;0;0;1;1
unspecific;0;2023;Public sector;Spain;0;0;0;1;0;0;0;1;0;1;0;0;0;0;Article 32;No conflict;1;1;0;0;1
60;0;2020;Retail;Germany;0;0;0;0;0;1;0;0;0;0;0;0;3525870795;0;Not specified;No conflict;1;1;1;1;1
unspecific;0;2020;Retail;Spain;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 22.2 of the LSSI;No conflict;1;0;0;0;1
unspecific;0;2021;Social Media;Estonia;0;0;0;0;0;0;0;0;0;0;0;0;2000;0;Article 15;No conflict;0;0;0;1;1
unspecific;0;2024;Insurance;Finland;0;0;0;0;0;1;0;0;0;0;0;1;0;0;Article 9(2)(g);yes;1;0;1;0;1
65;0;2021;Medical;United Kingdom;0;0;0;0;0;1;0;0;0;0;0;0;1100;0;Article 5(1)(f), Article 32(1), Article 32(2);No conflict;1;1;0;0;1
unspecific;0;Not specified;Public sector;Sweden;0;0;0;0;0;1;0;1;0;1;0;0;0;0;Article 32, Article 5(1)(e);No conflict;1;1;1;0;1
unspecific;0;2024;Retail;Sweden;0;0;0;0;1;0;0;0;0;0;0;1;0;0;Article 5(1)(d) GDPR, Article 12(2) GDPR, Article 16 GDPR, Article 25 GDPR, Article 56 GDPR, Article 58(2)(b) GDPR;No conflict;1;0;0;1;1
unspecific;0;2024;Marketing;Slovenia;0;0;0;0;0;0;1;0;1;0;0;0;0;0;Article 15;No conflict;0;0;0;1;1
unspecific;0;2022;Insurance;Germany;0;0;0;0;1;0;0;0;0;0;0;0;0;0;GDPR Art. 15 Para. 1;No conflict;0;0;0;0;0
unspecific;0;2020;Social Media;Hungary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 21;yes;0;0;0;1;1
1500000;0;2022;Retail;Hungary;0;1;0;0;1;0;0;0;1;0;0;0;650000;0;Article 5(1)(a), Article 5(1)(b), Article 6(1), Article 6(4), Article 12(1), Article 13, Article 21(1), Article 21(2), Article 24(1), Article 25(1), Article 25(2);yes;1;0;1;1;1
unspecific;0;Not specified;Marketing;Germany;0;0;0;0;0;0;1;0;1;0;0;0;0;0;Article 7(1), Article 6(1)(f), Article 58(2)(f), Article 58(2)(g);No conflict;1;0;0;1;1
unspecific;0;2020;Marketing;Iceland;0;1;0;0;0;0;0;0;1;0;0;0;0;0;Article 6(1)(f);No conflict;1;0;0;0;1
unspecific;0;2022;Public sector;Norway;0;1;1;0;0;1;0;1;0;1;0;0;0;0;Article 9(2)(h);No conflict;0;0;0;1;1
unspecific;0;2023;Public sector;Norway;0;0;0;1;0;0;0;1;0;0;0;0;0;0;Article 77;No conflict;0;0;0;1;1
unspecific;0;2021;Security Service;Netherlands;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Article 6, first paragraph, preamble and under f;No conflict;0;0;0;0;0
unspecific;0;2023;Social Media;Netherlands;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 15 paragraph 1 GDPR;No conflict;0;0;0;1;1
unspecific;0;2021;Social Media;Netherlands;0;0;0;1;0;0;0;0;1;0;0;0;0;1;Article 17(3)(a);No conflict;0;0;0;0;0
unspecific;1;2023;Public sector;Netherlands;0;1;0;1;1;0;0;1;0;1;0;0;0;0;Article 13, Article 14, Article 15, Article 23;No conflict;1;0;0;1;1
unspecific;0;2020;Security Service;Netherlands;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Article 6(1)(f);No conflict;0;0;0;0;0
unspecific;0;2023;Public sector;Netherlands;0;1;0;0;0;0;0;1;0;1;0;0;0;0;Article 17(3)(b);No conflict;1;0;0;0;0
unspecific;0;2020;Public sector;Finland;0;0;0;1;1;0;0;1;0;0;0;0;0;0;Article 6;No conflict;1;0;1;1;1
unspecific;0;2021;Insurance;Finland;0;0;0;0;0;1;1;0;0;0;0;1;0;0;Article 9, Article 5(1)(a) and (c), Article 25(2);yes;1;0;1;1;1
unspecific;0;2019;Public sector;Portugal;1;1;0;0;1;0;0;1;0;1;0;0;0;0;Article 34(4) of the Constitution of the Portuguese Republic;yes;1;0;1;1;1
unspecific;0;2020;Public sector;Poland;0;0;0;0;0;0;0;1;0;1;0;0;100000;0;Article 31, Article 58(1)(e), Article 58(1)(f);yes;0;0;1;0;1
unspecific;0;2022;Human resources;Poland;0;1;0;0;0;0;0;1;0;0;0;0;15994;0;Article 33(1);No conflict;1;1;1;0;1
unspecific;0;2021;Social Media;Czech Republic;0;1;0;1;0;0;0;0;1;0;0;0;10000;0;Article 6(1)(f);yes;1;0;0;1;1
unspecific;0;2019;Public sector;Germany;0;0;0;0;1;0;0;1;1;1;0;0;0;0;Article 6(1)(c) and (e) GDPR;No conflict;0;0;0;0;0
unspecific;0;2023;Retail;Austria;0;1;0;0;1;0;0;0;0;0;0;0;0;0;Article 16;No conflict;0;0;0;1;1
unspecific;0;2020;Retail;Poland;0;1;0;0;0;0;0;0;1;0;0;1;0;0;Article 6(1)(f);yes;1;0;0;1;1
unspecific;0;2019;Retail;Netherlands;0;0;0;0;1;0;0;0;0;0;0;0;830000;0;Article 12(2) GDPR, Article 12(5) GDPR, Article 15 GDPR;yes;0;0;0;1;1
unspecific;0;2020;Retail;Croatia;0;0;0;0;1;0;0;0;0;0;0;1;0;0;Article 15(3) GDPR;No conflict;0;0;0;1;1
unspecific;0;2020;Human resources;Italy;0;0;0;0;0;0;0;0;0;0;0;0;3000;0;Article 12(1) GDPR, Article 15 GDPR;No conflict;0;0;0;1;1
4500000;0;2020;Marketing;Italy;0;1;0;0;0;0;1;0;1;0;0;0;1225060100;0;Article 5(1), Article 5(2), Article 6(1), Article 7, Article 15(1), Article 16, Article 21, Article 24, Article 25(1), Article 32, Article 33(1);yes;1;1;1;1;1
429612;0;2020;Retail;United Kingdom;0;1;0;0;1;0;0;0;0;0;0;0;23200000;0;Article 5(1)(f) GDPR;No conflict;1;1;0;0;1
500;0;2020;Marketing;United Kingdom;0;1;0;0;1;0;1;0;1;0;0;0;0;0;Article 5(1) GDPR, Article 6(1) GDPR, Article 14 GDPR;yes;1;0;1;1;1
unspecific;0;2020;Marketing;Finland;0;0;0;0;0;0;1;0;1;0;0;0;7000;0;Article 4(11) GDPR, Article 58(2)(c) GDPR, Article 58(2)(d) GDPR;yes;0;0;0;1;1
unspecific;0;2019;Retail;Germany;0;0;0;0;0;0;0;0;0;0;0;0;11000000;0;Article 13, Article 28, Article 30, Article 35, Article 83;No conflict;1;0;1;1;1
9000;0;Not specified;Retail;Not specified;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Article 5, Article 12, Article 34, Article 58;No conflict;1;1;0;1;1
unspecific;0;2021;Medical;Romania;0;0;0;0;0;1;0;0;0;0;0;0;2000;0;Article 12(3), Article 15(1), Article 28(1), Article 32, Article 33;No conflict;1;1;1;1;1
unspecific;0;2017;Retail;Finland;0;1;0;0;0;0;0;0;1;0;0;1;0;0;Article 5(1)(a), Article 12(1), Article 12(2), Article 12(6), Article 13, Article 15(1)(h), Article 15(3), Article 15(4), Article 58(2)(c), Article 58(2)(d);No conflict;1;0;1;1;1
685000;0;2022;Retail;Denmark;0;0;0;0;0;0;0;0;0;0;0;0;134000;0;Article 83(1);No conflict;1;0;0;0;1
451217;0;2021;Marketing;United Kingdom;0;0;0;0;0;0;1;0;1;0;0;0;5200;0;Regulation 22 of PECR;No conflict;1;0;0;1;1
unspecific;0;2023;Public sector;United Kingdom;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Article 12(3), Article 15(1), Article 15(3);No conflict;0;0;0;1;1
unspecific;0;2020;Public sector;Romania;0;0;0;0;0;0;0;0;0;1;1;0;0;0;Article 5(1)(a), Article 6(1);No conflict;1;0;1;0;1
unspecific;0;2021;Leisure;Romania;0;1;0;0;0;0;0;0;0;0;0;0;2000;0;Article 32;No conflict;1;1;0;0;1
unspecific;0;2024;Retail;Romania;0;0;0;0;0;0;0;0;0;0;0;0;3001;0;Article 12(3), Article 15, Article 17;No conflict;0;0;0;1;1
1091;0;Not specified;Retail;Romania;0;1;1;0;1;0;0;0;0;0;0;0;5000;0;Article 32(1), Article 32(2), Article 33(1);No conflict;0;1;0;0;1
1246;0;2022;Retail;United Kingdom;0;0;0;0;0;0;0;0;1;0;0;0;220;0;regulation 21 of the Privacy and Electronic Communications (EC Directive) Regulations 2003;No conflict;0;0;1;0;1
unspecific;0;2022;Security Service;Romania;0;0;0;0;0;0;0;1;0;0;0;0;995;0;Article 58(1), Article 83(5)(e);No conflict;0;0;1;0;1
unspecific;0;2024;Medical;United Kingdom;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Article 12(3), Article 15(1), Article 15(3);No conflict;0;0;0;1;1
unspecific;0;2021;Public sector;United Kingdom;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Article 5(1)(f);No conflict;1;1;0;0;1
9483;0;2024;Public sector;United Kingdom;0;1;0;0;0;0;0;1;0;1;0;0;750000;0;Article 5(1)(f), Article 32(1), Article 32(2);No conflict;1;1;1;0;1
unspecific;0;2022;Public sector;Denmark;0;1;0;0;0;1;0;0;0;1;0;0;50000;0;Article 83(2);No conflict;1;1;0;0;1
325;0;2021;Public sector;Romania;0;1;0;0;0;0;1;0;0;0;0;0;5000;0;Article 32(1)(b), Article 32(2), Article 5(1)(a), Article 6(1);No conflict;1;1;1;1;1
unspecific;0;2022;Retail;Romania;0;0;0;0;0;0;0;0;0;0;0;0;7000;0;Article 58(1)(a), Article 58(1)(e), Article 12(1);No conflict;1;0;1;1;1
unspecific;0;2024;Human resources;Romania;0;1;1;0;0;0;0;0;0;0;0;0;3000;0;Article 25(1), Article 32(1)(a), Article 32(1)(b), Article 32(1)(d), Article 32(2);No conflict;1;1;1;0;1
unspecific;0;Not specified;Retail;Romania;0;0;0;0;0;0;0;0;0;0;0;0;5000;0;Article 5(1)(b), Article 5(1)(c), Article 5(2), Article 6, Article 7;No conflict;1;0;0;0;1
10739;0;2022;Retail;Romania;0;1;0;0;0;0;0;0;0;0;0;0;5000;0;Article 32(1)(b) and (c) and (2);No conflict;0;1;0;0;1
300;0;2024;Public sector;Denmark;0;0;1;0;0;0;0;1;0;1;0;0;200000;0;Not specified;No conflict;1;1;0;0;1
unspecific;0;2020;Public sector;United Kingdom;0;0;1;0;0;0;0;1;0;1;0;0;0;0;Article 8 ECHR, Section 35 UK DPA, Section 37 UK DPA, Section 39 UK DPA;No conflict;0;0;0;1;1
2565513;0;2021;Retail;United Kingdom;0;0;0;0;0;0;0;0;1;0;0;0;7200;0;Regulation 22 of the Privacy and Electronic Communications (EC Directive) Regulations 2003;No conflict;0;0;0;1;1
unspecific;0;2021;Human resources;Romania;0;0;0;0;0;0;0;0;1;0;0;0;5000;0;Article 5 para. (1) lit. a) reported to art. 6 para. (1);No conflict;1;0;1;0;1
9500;0;2022;Retail;Germany;0;0;0;0;0;1;0;0;0;0;0;0;19000000;0;Article 83;No conflict;1;0;0;1;1
1757;0;2022;Marketing;Romania;0;0;0;0;0;0;0;0;1;0;0;0;2000;0;Article 25(1), Article 32(1), Article 32(2);No conflict;1;1;1;0;1
99998;0;2017;Retail;United Kingdom;0;1;0;0;1;0;0;0;0;0;0;0;0;0;Article 17;No conflict;1;1;1;1;1
unspecific;0;2023;Retail;Romania;0;1;0;0;1;0;0;0;0;0;0;1;9930;0;Article 12(4), Article 15(3), Article 12(2), Article 15(4);No conflict;0;0;1;1;1
4;0;2020;Retail;Romania;0;1;0;0;1;0;0;0;0;0;0;0;100000;0;Article 32(1), Article 32(2), Article 5(f);No conflict;1;1;1;1;1
unspecific;0;2022;Retail;United Kingdom;0;1;0;0;1;0;0;0;0;0;0;0;0;0;Article 82 UK-GDPR;No conflict;1;1;1;1;1
169;0;2022;Retail;Romania;0;1;0;0;1;0;0;0;0;0;0;1;28000;0;Article 32(4) in conjunction with Article 32(1) and (2), Article 25(1);No conflict;1;1;1;1;1
11169;0;2021;Retail;Romania;0;1;0;0;1;0;0;0;0;0;0;0;2000;0;Article 29, Article 32(1)(b), Article 32(4);No conflict;1;1;1;0;1
unspecific;0;2020;Public sector;Denmark;0;0;1;0;0;1;0;0;0;1;0;0;670;0;Not specified;No conflict;0;1;1;0;1
unspecific;0;2024;Social Media;Netherlands;0;1;0;1;1;1;0;0;0;0;0;1;290000000;0;Article 44;No conflict;1;0;0;0;1
unspecific;0;2022;Retail;Romania;0;1;0;0;0;0;0;0;0;0;0;0;99405;0;Article 58(1)(a), Article 58(1)(e), Article 32(1)(b), Article 32(2);No conflict;0;1;1;0;1
unspecific;0;Not specified;Medical;Romania;0;1;0;0;0;1;0;0;0;0;0;0;2000;0;Article 32(1)(b), Article 32(2), Article 32(4);No conflict;1;1;1;0;1
unspecific;0;2024;Retail;Romania;0;0;0;0;0;0;1;0;0;0;0;0;2010;0;Article 13(1)(a), Article 4(5)(a);No conflict;0;0;1;1;1
unspecific;0;2024;Public sector;United Kingdom;0;1;0;1;0;1;0;1;0;1;0;0;0;0;Article 5(2), Article 35;No conflict;1;0;1;1;1
unspecific;0;2024;Retail;Romania;0;1;0;0;0;0;0;0;0;0;0;0;4998;0;Article 32(1)(b), (d) and (2);No conflict;1;1;0;0;1
unspecific;0;2020;Retail;Romania;0;0;0;0;0;0;0;0;0;0;0;0;3000;0;Article 25, Article 32;No conflict;1;1;0;0;1
295;0;Not specified;Human resources;Romania;0;0;0;0;0;0;0;0;0;0;0;0;1000;0;Article 32;No conflict;0;1;1;0;1
unspecific;0;2021;Retail;United Kingdom;0;0;0;0;0;0;1;0;1;0;0;0;174000;0;Not specified;No conflict;0;0;0;1;1
168852;0;2024;Insurance;England;0;0;0;0;1;0;0;0;1;0;0;0;13945;0;regulation 21 and 24 of PECR;No conflict;1;0;1;1;1
unspecific;0;2024;Retail;Romania;0;1;0;0;0;0;0;0;0;0;0;0;2001;0;Article 12(2), Article 12(3), Article 12(4), Article 15(3);No conflict;0;0;0;1;1
unspecific;0;2022;Retail;Romania;0;0;0;0;0;0;1;0;0;0;0;0;19893;0;Article 58(1), Article 83(5), Article 6(1)(a);No conflict;0;0;0;1;1
unspecific;0;Not specified;Retail;Germany;0;0;0;0;0;0;0;0;0;0;0;0;10400000;0;Not specified;No conflict;1;0;0;1;1
unspecific;0;2023;Medical;Romania;0;1;0;0;0;1;1;0;0;0;0;0;2000;0;Article 5, Article 6(1)(a), Article 9(2)(a);yes;1;1;1;1;1
unspecific;0;2022;Medical;Romania;0;1;1;0;0;1;0;0;1;0;0;0;5000;0;Article 5(1)(a), (c), (2), Article 6, Article 9, Article 33;yes;1;1;1;1;1
unspecific;0;2020;Retail;Romania;0;1;0;0;0;0;0;0;0;0;0;0;28992;0;Article 32;No conflict;0;1;0;0;1
1718;0;2021;Retail;Not specified;0;0;0;0;0;0;0;0;1;0;0;0;0;0;Not specified;No conflict;0;0;0;1;1
unspecific;0;2019;Marketing;Austria;0;1;0;0;0;1;0;0;1;0;0;0;18000000;0;Article 5(1), Article 6(1), Article 6(4), Article 9;yes;1;0;0;1;1
550;0;2021;Leisure;United Kingdom;0;1;1;0;0;1;0;0;0;0;0;0;2913;0;Article 5(l)(f), Article 32(1) and (2);No conflict;1;1;1;1;1
339000000;0;2020;Leisure;United Kingdom;0;1;0;0;1;0;0;0;0;0;0;0;18400000;0;Article 5(1)(f) and Article 32;No conflict;1;1;0;0;1
500000;0;2021;Retail;Germany;0;0;0;0;1;0;0;1;1;0;0;0;90138884;0;Article 12, 13 GDPR;No conflict;0;0;1;1;1
752425;0;2022;Retail;United Kingdom;0;0;0;0;1;0;1;0;1;0;0;0;5200;0;Regulation 22 of PECR;No conflict;1;0;0;1;1
unspecific;0;Not specified;Individual;Romania;0;1;1;0;0;0;0;0;0;0;0;0;100;0;Article 5(1)(a) and (b) and (2), Article 6(1), Article 14(1)-(4);No conflict;1;0;0;1;1
unspecific;0;2020;Retail;Romania;0;1;0;0;0;0;0;0;0;0;0;0;3000;0;Article 32;No conflict;1;1;1;0;1
8234;0;Not specified;Public sector;United Kingdom;0;1;1;1;0;1;0;0;0;0;0;0;0;0;Article 32(1)(b), Article 32(1)(d);No conflict;0;1;0;0;1
28523745;0;2021;Insurance;United Kingdom;0;0;0;0;1;0;0;0;1;0;0;0;7600;0;Not specified;No conflict;0;0;0;1;1
unspecific;0;2022;Retail;Romania;0;0;0;0;0;0;0;0;0;0;0;0;9932;0;Article 29, Article 32(4);No conflict;1;1;1;0;1
unspecific;0;2022;Retail;Romania;0;1;0;0;0;0;0;0;0;0;0;0;2000;0;Article 15;No conflict;0;0;0;1;1
110302;0;2021;Retail;Lithuania;0;1;0;0;1;0;0;0;0;0;0;0;11000;0;Article 32(1)(a), (b), (d);No conflict;1;1;1;0;1
